asset,klasse,regel,parameter,richtung,t_entdeckung,alpha_pa_entdeckung,t_bestaetigung,alpha_pa_bestaetigung,p_entdeckung,stufe1,p_bestaetigung,bestanden
SPY,ETF,weekday,0,long,-0.478,-0.0113,-0.768,-0.01283,0.6836748974806768,False,0.7787564075527982,False
SPY,ETF,weekday,1,long,0.012,0.00027,0.34,0.0055,0.49521280752807784,False,0.36692826396397193,False
SPY,ETF,weekday,2,long,0.112,0.00268,-0.389,-0.006,0.4554117032857343,False,0.6513619268072384,False
SPY,ETF,weekday,3,long,-1.39,-0.03302,-1.316,-0.0207,0.917735561322331,False,0.9059129786653994,False
SPY,ETF,weekday,4,long,-0.388,-0.00902,-1.104,-0.01636,0.6509919831984289,False,0.8652034311551487,False
SPY,ETF,overnight,-,long,-0.857,-0.02424,1.272,0.02278,0.804277557688893,False,0.10168655963466955,False
SPY,ETF,turn_of_month,-,long,-0.154,-0.00343,1.219,0.01866,0.5611951322074614,False,0.11142209624266686,False
QQQ,ETF,sma_trend,10,long,0.59,0.02079,-1.808,-0.06351,0.27759532475346493,False,0.9646967497094742,False
QQQ,ETF,sma_trend,10,long/short,0.59,0.04157,-1.85,-0.12985,0.27759532475346493,False,0.9678432252043863,False
QQQ,ETF,sma_trend,20,long,1.826,0.06383,0.074,0.00253,0.03392513092107252,False,0.470505192631097,False
QQQ,ETF,sma_trend,20,long/short,1.826,0.12767,0.134,0.00916,0.03392513092107252,False,0.44670128721754654,False
QQQ,ETF,sma_trend,50,long,1.556,0.05497,1.175,0.04023,0.059854046183784204,False,0.11999735789901256,False
QQQ,ETF,sma_trend,50,long/short,1.556,0.10993,1.229,0.08384,0.059854046183784204,False,0.109535903009636,False
QQQ,ETF,sma_trend,100,long,0.617,0.02224,0.897,0.03005,0.26861736286083937,False,0.18485945851244434,False
QQQ,ETF,sma_trend,100,long/short,0.617,0.04447,0.97,0.06464,0.26861736286083937,False,0.16602324606352958,False
QQQ,ETF,sma_trend,200,long,1.475,0.05337,0.375,0.01269,0.07010627171122308,False,0.35383023332727626,False
QQQ,ETF,sma_trend,200,long/short,1.475,0.10674,0.836,0.05591,0.07010627171122308,False,0.2015774515280977,False
QQQ,ETF,sma_cross,"(5, 20)",long,1.675,0.05908,-0.012,-0.0004,0.046967115830745865,False,0.504787192471922,False
QQQ,ETF,sma_cross,"(5, 20)",long/short,1.675,0.11817,0.048,0.00331,0.046967115830745865,False,0.48085812130423855,False
QQQ,ETF,sma_cross,"(10, 50)",long,0.824,0.02941,0.515,0.01777,0.2049697789805982,False,0.3032765100021396,False
QQQ,ETF,sma_cross,"(10, 50)",long/short,0.824,0.05881,0.566,0.03893,0.2049697789805982,False,0.28569689025844003,False
QQQ,ETF,sma_cross,"(20, 100)",long,0.575,0.02057,1.32,0.04555,0.28264564849720064,False,0.0934175089934719,False
QQQ,ETF,sma_cross,"(20, 100)",long/short,0.575,0.04113,1.396,0.09564,0.28264564849720064,False,0.08135724757480689,False
QQQ,ETF,sma_cross,"(50, 200)",long,0.762,0.02442,1.476,0.05126,0.2230300020800624,False,0.0699719461157311,False
QQQ,ETF,sma_cross,"(50, 200)",long/short,0.762,0.04885,1.946,0.13304,0.2230300020800624,False,0.025827369805805023,False
QQQ,ETF,tsmom,20,long,2.518,0.0882,0.724,0.02498,0.005901166053331686,False,0.23453286753621683,False
QQQ,ETF,tsmom,20,long/short,2.518,0.17641,0.792,0.05452,0.005901166053331686,False,0.21418033811653736,False
QQQ,ETF,tsmom,60,long,1.1,0.03969,1.422,0.04872,0.13566606094638267,False,0.07751312547119715,False
QQQ,ETF,tsmom,60,long/short,1.1,0.07937,1.438,0.09806,0.13566606094638267,False,0.07521702707184585,False
QQQ,ETF,tsmom,120,long,0.756,0.02702,2.068,0.07125,0.22482459785246145,False,0.019320011548942473,False
QQQ,ETF,tsmom,120,long/short,0.756,0.05404,2.186,0.1493,0.22482459785246145,False,0.014407802664058167,False
QQQ,ETF,tsmom,250,long,-0.56,-0.0185,0.454,0.01585,0.712260281150973,False,0.3249144133971742,False
QQQ,ETF,tsmom,250,long/short,-0.56,-0.03701,1.085,0.0733,0.712260281150973,False,0.13896082763391093,False
QQQ,ETF,donchian,20,long,1.703,0.05484,-0.206,-0.00644,0.04428403420190863,False,0.5816045443473927,False
QQQ,ETF,donchian,20,long/short,1.671,0.10325,-0.006,-0.00039,0.04736083890548293,False,0.5023936393205641,False
QQQ,ETF,donchian,55,long,0.498,0.01634,-0.093,-0.00296,0.30924202109245436,False,0.5370482193881883,False
QQQ,ETF,donchian,55,long/short,0.725,0.04485,0.575,0.03513,0.23422601521269493,False,0.28264564849720064,False
QQQ,ETF,donchian,100,long,1.279,0.04458,0.666,0.02101,0.10044852794579251,False,0.25270555020079977,False
QQQ,ETF,donchian,100,long/short,1.027,0.06555,0.871,0.05167,0.15221023204107054,False,0.19187707654520025,False
QQQ,ETF,rsi2,10,long,1.11,0.03295,2.096,0.0681,0.13349951324274723,False,0.01804109547236843,False
QQQ,ETF,rsi2,10,long/short,0.748,0.0317,1.392,0.06136,0.22723007877129553,False,0.08196119897758458,False
QQQ,ETF,rsi2,30,long,1.708,0.06166,1.309,0.04707,0.043818171238254044,False,0.095267175367445,False
QQQ,ETF,rsi2,30,long/short,0.946,0.06022,1.483,0.09281,0.17207429311356293,False,0.06903720538527858,False
QQQ,ETF,rsi14,30,long,-0.603,-0.0201,-0.421,-0.01356,0.7267456553942692,False,0.6631224590690911,False
QQQ,ETF,rsi14,30,long/short,-0.986,-0.04592,-0.162,-0.0066,0.8379334435710547,False,0.5643470730651057,False
QQQ,ETF,bollinger,1.5,long,-1.284,-0.0465,-0.294,-0.01059,0.9004290222897758,False,0.6156210483141691,False
QQQ,ETF,bollinger,1.5,long/short,-1.016,-0.06189,-0.273,-0.01574,0.8451853067253312,False,0.6075733922130369,False
QQQ,ETF,bollinger,2.0,long,-1.144,-0.04126,0.337,0.01184,0.8736881815003427,False,0.36805845005154225,False
QQQ,ETF,bollinger,2.0,long/short,-0.819,-0.04304,0.548,0.02789,0.7936067932063766,False,0.2918459514173488,False
QQQ,ETF,bollinger,2.5,long,-0.649,-0.02075,0.086,0.00197,0.7418308118995591,False,0.46573320861363465,False
QQQ,ETF,bollinger,2.5,long/short,-0.244,-0.00857,0.569,0.01537,0.5963845900408977,False,0.2846780699717789,False
QQQ,ETF,weekday,0,long,0.045,0.00131,-0.658,-0.01836,0.48205365447786097,False,0.7447309344227232,False
QQQ,ETF,weekday,1,long,0.527,0.01465,-0.961,-0.0286,0.2990967942379146,False,0.8317239160817094,False
QQQ,ETF,weekday,2,long,0.497,0.01481,0.019,0.00057,0.30959452566341183,False,0.49242055270519525,False
QQQ,ETF,weekday,3,long,-1.359,-0.04035,1.281,0.03681,0.9129267056472928,False,0.10009683304777695,False
QQQ,ETF,weekday,4,long,-1.432,-0.04081,-1.486,-0.0408,0.9239280893413875,False,0.9313604395007544,False
QQQ,ETF,overnight,-,long,-0.266,-0.00918,2.407,0.07586,0.6048803954886851,False,0.008042084931898508,False
QQQ,ETF,turn_of_month,-,long,-0.047,-0.00132,1.046,0.03033,0.5187433862349218,False,0.14778051619506227,False
IWM,ETF,sma_trend,10,long,-0.052,-0.0019,-1.955,-0.05987,0.5207356532922802,False,0.9747084648647699,False
IWM,ETF,sma_trend,10,long/short,-0.052,-0.0038,-1.822,-0.11143,0.5207356532922802,False,0.9657725071747221,False
IWM,ETF,sma_trend,20,long,0.396,0.01453,-1.101,-0.03337,0.34605251411118165,False,0.8645516714195952,False
IWM,ETF,sma_trend,20,long/short,0.396,0.02905,-0.998,-0.06038,0.34605251411118165,False,0.8408603206783783,False
IWM,ETF,sma_trend,50,long,0.365,0.0134,-0.32,-0.00952,0.3575557031230292,False,0.6255158347233201,False
IWM,ETF,sma_trend,50,long/short,0.365,0.0268,-0.217,-0.01287,0.3575557031230292,False,0.5858958275303481,False
IWM,ETF,sma_trend,100,long,0.144,0.00526,0.557,0.01663,0.44275023481822995,False,0.2887637145951525,False
IWM,ETF,sma_trend,100,long/short,0.144,0.01052,0.563,0.03335,0.44275023481822995,False,0.2867174419702132,False
IWM,ETF,sma_trend,200,long,0.598,0.02173,0.307,0.00911,0.2749199665406772,False,0.3794216861102565,False
IWM,ETF,sma_trend,200,long/short,0.598,0.04347,0.256,0.01492,0.2749199665406772,False,0.39897541865743413,False
IWM,ETF,sma_cross,"(5, 20)",long,0.542,0.01992,-0.366,-0.01103,0.29390925294161674,False,0.6428174622141614,False
IWM,ETF,sma_cross,"(5, 20)",long/short,0.542,0.03984,-0.261,-0.01571,0.29390925294161674,False,0.6029537463721915,False
IWM,ETF,sma_cross,"(10, 50)",long,0.313,0.01156,1.725,0.05212,0.3771403310749243,False,0.04226373625795232,False
IWM,ETF,sma_cross,"(10, 50)",long/short,0.313,0.02312,1.835,0.11041,0.3771403310749243,False,0.03325284472842527,False
IWM,ETF,sma_cross,"(20, 100)",long,-0.776,-0.02869,0.356,0.01076,0.7811255070669162,False,0.36092028259044473,False
IWM,ETF,sma_cross,"(20, 100)",long/short,-0.776,-0.05737,0.36,0.02162,0.7811255070669162,False,0.3594235667820088,False
IWM,ETF,sma_cross,"(50, 200)",long,-0.994,-0.03683,-0.301,-0.00926,0.8398885662745508,False,0.6182927527384109,False
IWM,ETF,sma_cross,"(50, 200)",long/short,-0.994,-0.07366,-0.364,-0.02182,0.8398885662745508,False,0.642070995309583,False
IWM,ETF,tsmom,20,long,-0.019,-0.0007,0.289,0.00862,0.5075794472948048,False,0.386290688777994,False
IWM,ETF,tsmom,20,long/short,-0.019,-0.00141,0.409,0.02438,0.5075794472948048,False,0.34126983057412874,False
IWM,ETF,tsmom,60,long,0.245,0.00898,0.238,0.00715,0.40322821567947564,False,0.4059405471011941,False
IWM,ETF,tsmom,60,long/short,0.245,0.01795,0.352,0.02105,0.40322821567947564,False,0.36241913123756897,False
IWM,ETF,tsmom,120,long,-0.657,-0.02386,0.07,0.00209,0.7444095417686155,False,0.47209682981947887,False
IWM,ETF,tsmom,120,long/short,-0.657,-0.04771,0.118,0.00704,0.7444095417686155,False,0.4530338289416578,False
IWM,ETF,tsmom,250,long,0.385,0.01397,0.412,0.01264,0.35011870776527565,False,0.34016971161496123,False
IWM,ETF,tsmom,250,long/short,0.385,0.02793,0.459,0.02731,0.35011870776527565,False,0.3231170830389708,False
IWM,ETF,donchian,20,long,0.291,0.00972,-0.154,-0.00424,0.3855256597534499,False,0.5611951322074614,False
IWM,ETF,donchian,20,long/short,0.455,0.02857,-0.004,-0.0002,0.3245546194179446,False,0.5015957648662317,False
IWM,ETF,donchian,55,long,0.152,0.00528,0.055,0.00148,0.43959346782576125,False,0.47806923189717654,False
IWM,ETF,donchian,55,long/short,0.686,0.04452,0.367,0.01888,0.24635655420219882,False,0.35680950900215946,False
IWM,ETF,donchian,100,long,0.286,0.00993,1.031,0.02775,0.38743906077712187,False,0.15127040989963325,False
IWM,ETF,donchian,100,long/short,0.739,0.04727,0.694,0.0359,0.2299534986796834,False,0.243841104460232,False
IWM,ETF,rsi2,10,long,-0.796,-0.02688,1.975,0.05267,0.7869839822978704,False,0.02413407400472478,False
IWM,ETF,rsi2,10,long/short,-0.43,-0.02109,2.972,0.10993,0.6664021794045423,False,0.0014793334203125896,False
IWM,ETF,rsi2,30,long,-0.803,-0.02987,1.863,0.05775,0.7890126327178432,False,0.03123113311471104,False
IWM,ETF,rsi2,30,long/short,0.133,0.00886,2.232,0.119,0.44709669024992704,False,0.01280748146647892,False
IWM,ETF,rsi14,30,long,-0.992,-0.03469,0.15,0.00414,0.8394012372919295,False,0.4403823076297575,False
IWM,ETF,rsi14,30,long/short,-0.249,-0.01165,0.319,0.01106,0.598319609293035,False,0.37486325639099927,False
IWM,ETF,bollinger,1.5,long,-0.713,-0.02643,-0.136,-0.00422,0.7620771214318429,False,0.5540893595176599,False
IWM,ETF,bollinger,1.5,long/short,-0.453,-0.02809,0.364,0.01802,0.6747256292400579,False,0.357929004690417,False
IWM,ETF,bollinger,2.0,long,-0.755,-0.02758,-0.274,-0.00828,0.774875508890073,False,0.6079576891711825,False
IWM,ETF,bollinger,2.0,long/short,-0.677,-0.03846,0.539,0.02225,0.7507970228167442,False,0.2949434272772652,False
IWM,ETF,bollinger,2.5,long,-0.968,-0.03323,-0.751,-0.01901,0.8334778151498295,False,0.7736736721068145,False
IWM,ETF,bollinger,2.5,long/short,-0.545,-0.02292,-0.43,-0.01165,0.7071232411941949,False,0.6664021794045423,False
IWM,ETF,weekday,0,long,0.033,0.00101,-1.748,-0.04466,0.4868372938212727,False,0.9597679862906452,False
IWM,ETF,weekday,1,long,-0.034,-0.00098,1.067,0.02702,0.513561424648841,False,0.14298591797062477,False
IWM,ETF,weekday,2,long,-0.689,-0.02121,-0.232,-0.0058,0.7545883662172191,False,0.5917309930990302,False
IWM,ETF,weekday,3,long,-1.238,-0.03757,-0.583,-0.01484,0.8921419695866903,False,0.7200533498881214,False
IWM,ETF,weekday,4,long,0.293,0.00835,-0.529,-0.01211,0.38476107584610797,False,0.7015972750584105,False
IWM,ETF,overnight,-,long,1.513,0.05446,1.717,0.04781,0.06513982942794738,False,0.04298958599454106,False
IWM,ETF,turn_of_month,-,long,-1.005,-0.02868,0.24,0.00588,0.8425515750696722,False,0.4051651283022042,False
DIA,ETF,sma_trend,10,long,2.165,0.05889,-1.157,-0.02537,0.015193842636020305,False,0.8763638198258631,False
DIA,ETF,sma_trend,10,long/short,2.165,0.11779,-1.125,-0.0493,0.015193842636020305,False,0.8697054828631912,False
DIA,ETF,sma_trend,20,long,1.594,0.04213,-0.266,-0.00578,0.05546801745272889,False,0.6048803954886851,False
DIA,ETF,sma_trend,20,long/short,1.594,0.08426,-0.187,-0.00811,0.05546801745272889,False,0.5741696835273642,False
DIA,ETF,sma_trend,50,long,1.2,0.03257,-0.26,-0.00554,0.11506967022170833,False,0.6025681132017605,False
DIA,ETF,sma_trend,50,long/short,1.2,0.06514,-0.12,-0.0051,0.11506967022170833,False,0.5477584260205839,False
DIA,ETF,sma_trend,100,long,0.319,0.00885,0.128,0.00273,0.37486325639099927,False,0.44907448652068827,False
DIA,ETF,sma_trend,100,long/short,0.319,0.01769,0.264,0.01123,0.37486325639099927,False,0.3958899593755876,False
DIA,ETF,sma_trend,200,long,0.717,0.0203,-0.772,-0.01647,0.2366870483297131,False,0.7799427862507902,False
DIA,ETF,sma_trend,200,long/short,0.717,0.04061,-0.729,-0.03066,0.2366870483297131,False,0.7669991687588837,False
DIA,ETF,sma_cross,"(5, 20)",long,1.169,0.03185,-0.55,-0.01194,0.12120181568603117,False,0.7088403132116536,False
DIA,ETF,sma_cross,"(5, 20)",long/short,1.169,0.06371,-0.471,-0.02043,0.12120181568603117,False,0.6811796325483522,False
DIA,ETF,sma_cross,"(10, 50)",long,0.703,0.01932,0.228,0.00493,0.24102787473763376,False,0.4098231202609659,False
DIA,ETF,sma_cross,"(10, 50)",long/short,0.703,0.03863,0.367,0.01584,0.24102787473763376,False,0.35680950900215946,False
DIA,ETF,sma_cross,"(20, 100)",long,0.01,0.00029,0.355,0.00766,0.4960106436853684,False,0.36129479561631284,False
DIA,ETF,sma_cross,"(20, 100)",long/short,0.01,0.00058,0.489,0.0211,0.4960106436853684,False,0.31242084842708884,False
DIA,ETF,sma_cross,"(50, 200)",long,-1.571,-0.04046,1.273,0.0277,0.9419086756045596,False,0.10150902092876457,False
DIA,ETF,sma_cross,"(50, 200)",long/short,-1.571,-0.08091,1.348,0.05767,0.9419086756045596,False,0.08882919130278655,False
DIA,ETF,tsmom,20,long,1.306,0.03507,0.34,0.0073,0.0957762787858698,False,0.36692826396397193,False
DIA,ETF,tsmom,20,long/short,1.306,0.07014,0.429,0.01842,0.0957762787858698,False,0.3339616123448267,False
DIA,ETF,tsmom,60,long,0.6,0.01652,0.268,0.00568,0.27425311775007355,False,0.3943496593666983,False
DIA,ETF,tsmom,60,long/short,0.6,0.03303,0.449,0.01905,0.27425311775007355,False,0.3267158283210092,False
DIA,ETF,tsmom,120,long,0.422,0.01186,-0.164,-0.00353,0.33651250872446836,False,0.565134428094503,False
DIA,ETF,tsmom,120,long/short,0.422,0.02372,0.009,0.00037,0.33651250872446836,False,0.4964095679472853,False
DIA,ETF,tsmom,250,long,0.422,0.01204,0.25,0.00553,0.33651250872446836,False,0.4012936743170763,False
DIA,ETF,tsmom,250,long/short,0.422,0.02408,0.381,0.01645,0.33651250872446836,False,0.3516016242686246,False
DIA,ETF,donchian,20,long,1.693,0.04029,0.26,0.00496,0.04522773360394816,False,0.3974318867982395,False
DIA,ETF,donchian,20,long/short,1.127,0.05322,0.242,0.00897,0.1298712404923954,False,0.40439008161479983,False
DIA,ETF,donchian,55,long,0.277,0.00668,-1.15,-0.02224,0.39089005307264224,False,0.8749280643628496,False
DIA,ETF,donchian,55,long/short,0.733,0.03463,-0.436,-0.01643,0.23177921469740448,False,0.6685816352146713,False
DIA,ETF,donchian,100,long,0.074,0.00194,0.497,0.00915,0.470505192631097,False,0.30959452566341183,False
DIA,ETF,donchian,100,long/short,0.554,0.02768,0.293,0.01072,0.28978942286730225,False,0.38476107584610797,False
DIA,ETF,rsi2,10,long,0.512,0.01224,0.816,0.01624,0.3043255047833042,False,0.2072500678564454,False
DIA,ETF,rsi2,10,long/short,-0.436,-0.01458,1.191,0.03222,0.6685816352146713,False,0.11682679244029925,False
DIA,ETF,rsi2,30,long,-0.748,-0.02134,1.276,0.02888,0.7727699212287045,False,0.10097775954749444,False
DIA,ETF,rsi2,30,long/short,-1.404,-0.06829,1.461,0.05813,0.9198405752166852,False,0.07200772071476114,False
DIA,ETF,rsi14,30,long,-0.656,-0.0186,0.965,0.01985,0.744087937890172,False,0.16727240589139514,False
DIA,ETF,rsi14,30,long/short,-0.612,-0.0232,0.724,0.01771,0.7297311212185279,False,0.23453286753621683,False
DIA,ETF,bollinger,1.5,long,-1.224,-0.03435,0.082,0.00186,0.8895238862344754,False,0.4673233567285886,False
DIA,ETF,bollinger,1.5,long/short,-1.769,-0.0817,0.228,0.00803,0.961553062706993,False,0.4098231202609659,False
DIA,ETF,bollinger,2.0,long,-1.619,-0.04589,0.706,0.01581,0.947276368442638,False,0.2400940687257831,False
DIA,ETF,bollinger,2.0,long/short,-1.778,-0.07234,0.7,0.02144,0.9622980725560197,False,0.24196365222307303,False
DIA,ETF,bollinger,2.5,long,-0.986,-0.02802,-0.071,-0.00142,0.8379334435710547,False,0.5283011222538723,False
DIA,ETF,bollinger,2.5,long/short,-0.889,-0.03021,-0.018,-0.00039,0.8129984600979113,False,0.5071805732941742,False
DIA,ETF,weekday,0,long,-0.509,-0.01225,-0.343,-0.00645,0.694623887942679,False,0.6342007699223756,False
DIA,ETF,weekday,1,long,-0.354,-0.00786,0.14,0.00257,0.6383305583821042,False,0.44432999519409355,False
DIA,ETF,weekday,2,long,-0.036,-0.00082,-0.359,-0.00641,0.514358820522249,False,0.6402024553629672,False
DIA,ETF,weekday,3,long,-1.214,-0.02741,-0.71,-0.01305,0.8876261379221613,False,0.7611479319100133,False
DIA,ETF,weekday,4,long,-0.092,-0.00207,-1.581,-0.02704,0.5366509802035495,False,0.9430609811322741,False
DIA,ETF,overnight,-,long,-1.028,-0.02782,-0.327,-0.00656,0.8480250861547626,False,0.6281660573932328,False
DIA,ETF,turn_of_month,-,long,-0.21,-0.00448,0.588,0.01016,0.5831661634824423,False,0.27826614641229774,False
EFA,ETF,sma_trend,10,long,1.555,0.04261,-1.098,-0.03234,0.059973034663572844,False,0.8638977553640502,False
EFA,ETF,sma_trend,10,long/short,1.555,0.08522,-1.216,-0.07161,0.059973034663572844,False,0.8880075389948663,False
EFA,ETF,sma_trend,20,long,0.484,0.01316,0.193,0.00566,0.31419293456065167,False,0.42347948404449465,False
EFA,ETF,sma_trend,20,long/short,0.484,0.02632,0.029,0.00171,0.31419293456065167,False,0.4884322952976893,False
